;Unnamed: 0;statut_public_prive;nom_etablissement;type_etablissement;ecole_elementaire;section;adresse_1;code_postal;web;telephone;Latitude;Longitude;nombre_d_eleves;montessori;bilingue;religieux;nb_voie;rue;type;nb_voie_100;popup
10;10;Municipal;la banque;halte-garderie;;creche;8 rue de la banque;75002;https://www.paris.fr/equipements/multi-accueil-halte-garderie-municipal-de-la-banque-1836;153297440;48.86672945;2.340469902714496;20;non;non;non;8;rue de la banque;rue;108;<a href=https://www.paris.fr/equipements/multi-accueil-halte-garderie-municipal-de-la-banque-1836>la banque</a><br>Adresse: 8 rue de la banque<br>cp: 75002
11;11;Privé;e.p.pr saint-sauveur (catholique);Ecole;1.0;maternelle;14 rue des petits carreaux;75002;https://www.ecolesaintsauveur.fr;145080773;48.8669123;2.347385;218.0;non;non;catholique;14;rue des petits carreaux;rue;114;<a href=https://www.ecolesaintsauveur.fr>e.p.pr saint-sauveur (catholique)</a><br>Adresse: 14 rue des petits carreaux<br>cp: 75002
12;12;Association;les petits pois;crèche parentale;;creche;17 rue du sentier;75002;www.lespetitspois.org;140131035;48.868697;2.3456089;20;non;non;non;17;rue du sentier;rue;117;<a href=www.lespetitspois.org>les petits pois</a><br>Adresse: 17 rue du sentier<br>cp: 75002
13;13;Association;la clairière;crèche multi-accueil;;creche;1 rue dussoubs;75002;www.laclairiere.org;142368246;48.8648332;2.3483445;18;non;non;non;1;rue dussoubs;rue;101;<a href=www.laclairiere.org>la clairière</a><br>Adresse: 1 rue dussoubs<br>cp: 75002
14;14;Public;e.m.pu dussoubs b 12 rue dussoubs;Ecole;0.0;maternelle;12 rue dussoubs;75002;https://fr.mappy.com/poi/50ae897684aeeac2b2c2ea8b;142363387;48.865118;2.3486586;124.0;non;non;non;12;rue dussoubs;rue;112;<a href=https://fr.mappy.com/poi/50ae897684aeeac2b2c2ea8b>e.m.pu dussoubs b 12 rue dussoubs</a><br>Adresse: 12 rue dussoubs<br>cp: 75002
15;15;Public;e.p.pu dussoubs 42 rue dussoubs;Ecole;1.0;maternelle;42 rue dussoubs;75002;https://fr.mappy.com/poi/50ace30d84aec628abe71a05;142364203;48.8671659;2.349682;249.0;non;non;non;42;rue dussoubs;rue;142;<a href=https://fr.mappy.com/poi/50ace30d84aec628abe71a05>e.p.pu dussoubs 42 rue dussoubs</a><br>Adresse: 42 rue dussoubs<br>cp: 75002
16;16;Privé;babilou feydeau;crèche d'entreprise;;creche;15 rue feydeau;75002;https://www.babilou.fr/creches/babilou-paris-feydeau;142951284;48.8698417;2.3402534;61;non;non;non;15;rue feydeau;rue;115;<a href=https://www.babilou.fr/creches/babilou-paris-feydeau>babilou feydeau</a><br>Adresse: 15 rue feydeau<br>cp: 75002
17;17;Municipal;greneta;crèche collective;;creche;44 rue greneta;75002;https://www.paris.fr/equipements/multi-accueil-creche-collective-municipale-greneta-2063;140264282;48.8652128;2.3513397;22;non;non;non;44;rue greneta;rue;144;<a href=https://www.paris.fr/equipements/multi-accueil-creche-collective-municipale-greneta-2063>greneta</a><br>Adresse: 44 rue greneta<br>cp: 75002
18;18;Municipal;thorel;crèche collective;;creche;10 rue thorel;75002;https://www.paris.fr/equipements/creche-collective-municipale-thorel-2061;142334999;48.8697016;2.349068;88;non;non;non;10;rue thorel;rue;110;<a href=https://www.paris.fr/equipements/creche-collective-municipale-thorel-2061>thorel</a><br>Adresse: 10 rue thorel<br>cp: 75002
19;19;Public;e.m.pu vivienne ;Ecole;0.0;maternelle;11 rue vivienne;75002;https://www.education.gouv.fr/annuaire/075-paris/paris-2e-arrondissement/etab/empu-vivienne-11-rue-vivienne.html;142609721;48.8694158;2.3403712;109.0;non;non;non;11;rue vivienne;rue;111;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-2e-arrondissement/etab/empu-vivienne-11-rue-vivienne.html>e.m.pu vivienne </a><br>Adresse: 11 rue vivienne<br>cp: 75002
20;20;Privé;crescendo enfance et decouverte;crèche collective;;creche;35 boulevard du temple;75003;https://www.crescendo.asso.fr/enfance-et-decouvertes;142713376;48.8657303;2.364897;20;non;non;non;35;boulevard du temple;boulevard;135;<a href=https://www.crescendo.asso.fr/enfance-et-decouvertes>crescendo enfance et decouverte</a><br>Adresse: 35 boulevard du temple<br>cp: 75003
21;21;Privé;e.m.pr douces maternelles saint michel (bilingue);Ecole;0.0;maternelle;84 boulevard saint michel;75003;http://www.doucesmaternelles.com;662949242;48.8422833;2.3378411;;non;oui;non;84;boulevard saint michel;boulevard;184;<a href=http://www.doucesmaternelles.com>e.m.pr douces maternelles saint michel (bilingue)</a><br>Adresse: 84 boulevard saint michel<br>cp: 75003
22;22;Municipal;brantôme;crèche collective;;creche;21 rue brantôme;75003;https://www.paris.fr/equipements/creche-collective-municipale-brantome-3754;140291660;48.8625473;2.3529594;88;non;non;non;21;rue brantôme;rue;121;<a href=https://www.paris.fr/equipements/creche-collective-municipale-brantome-3754>brantôme</a><br>Adresse: 21 rue brantôme<br>cp: 75003
23;23;Public;e.m.pu chapon ;Ecole;0.0;maternelle;25 rue chapon;75003;https://fr.mappy.com/poi/53224fb2e4b04129c76a829b;148872786;48.8636283;2.3551764;137.0;non;non;non;25;rue chapon;rue;125;<a href=https://fr.mappy.com/poi/53224fb2e4b04129c76a829b>e.m.pu chapon </a><br>Adresse: 25 rue chapon<br>cp: 75003
24;24;Privé;people & baby secret d’enfants (bilingue);micro-crèche;;creche;5 rue charlot;75003;https://www.people-and-baby.com/creche/secrets-d-enfants/993169;;48.8609087;2.3602133;;non;oui;non;5;rue charlot;rue;105;<a href=https://www.people-and-baby.com/creche/secrets-d-enfants/993169>people & baby secret d’enfants (bilingue)</a><br>Adresse: 5 rue charlot<br>cp: 75003
25;25;Privé;chaperons les malicieux de conté;micro-crèche;;creche;3 rue conté;75003;https://www.lpcr.fr/en/creches/paris-3e/201;;48.865845;2.3562876;10;non;non;non;3;rue conté;rue;103;<a href=https://www.lpcr.fr/en/creches/paris-3e/201>chaperons les malicieux de conté</a><br>Adresse: 3 rue conté<br>cp: 75003
26;26;Municipal;la perle;crèche collective;;creche;16 rue de la perle;75003;https://www.paris.fr/equipements/creche-collective-municipale-de-la-perle-2069;148873187;48.8596025;2.3616628;55;non;non;non;16;rue de la perle;rue;116;<a href=https://www.paris.fr/equipements/creche-collective-municipale-de-la-perle-2069>la perle</a><br>Adresse: 16 rue de la perle<br>cp: 75003
27;27;Public;e.m.pu perle ;Ecole;0.0;maternelle;7 rue de la perle;75003;https://www.pagesjaunes.fr/pros/50139630;142781621;48.8595124;2.3613707;96.0;non;non;non;7;rue de la perle;rue;107;<a href=https://www.pagesjaunes.fr/pros/50139630>e.m.pu perle </a><br>Adresse: 7 rue de la perle<br>cp: 75003
28;28;Privé;abc les temps des ours (bilingue);crèche collective;;creche;8 rue de montmorency;75003;https://www.abcpuericulture.com/fr/creche-collective-paris/le-tempsdes-ours/24;142710147;48.8628003;2.3567558154422823;47;non;oui;non;8;rue de montmorency;rue;108;<a href=https://www.abcpuericulture.com/fr/creche-collective-paris/le-tempsdes-ours/24>abc les temps des ours (bilingue)</a><br>Adresse: 8 rue de montmorency<br>cp: 75003
29;29;Municipal;turbigot;crèche familiale;;creche;50 rue de turbigo;75003;https://www.paris.fr/equipements/creche-familiale-municipale-de-turbigo-2325;144780772;48.8665997;2.3610783;46;non;non;non;50;rue de turbigo;rue;150;<a href=https://www.paris.fr/equipements/creche-familiale-municipale-de-turbigo-2325>turbigot</a><br>Adresse: 50 rue de turbigo<br>cp: 75003
30;30;Public;e.m.pu turenne ;Ecole;0.0;maternelle;52 rue de turenne;75003;https://www.ac-paris.fr/portail/jcms/2565_Spot/e-m-pu-turenne-52-spot;148872844;48.8584253;2.3646;135.0;non;non;non;52;rue de turenne;rue;152;<a href=https://www.ac-paris.fr/portail/jcms/2565_Spot/e-m-pu-turenne-52-spot>e.m.pu turenne </a><br>Adresse: 52 rue de turenne<br>cp: 75003
31;31;Municipal;gravilliers;halte-garderie;;creche;24 rue des gravilliers;75003;https://www.paris.fr/equipements/halte-garderie-municipale-des-gravilliers-1844;147874924;48.8638663;2.3567501;15;non;non;non;24;rue des gravilliers;rue;124;<a href=https://www.paris.fr/equipements/halte-garderie-municipale-des-gravilliers-1844>gravilliers</a><br>Adresse: 24 rue des gravilliers<br>cp: 75003
32;32;Privé;chaperons les malicieux des haudriettes;crèche d'entreprise;;creche;3 rue des haudriettes;75003;https://www.lpcr.fr/en/creches/paris-3e/186;;48.8614421;2.3577515;21;non;non;non;3;rue des haudriettes;rue;103;<a href=https://www.lpcr.fr/en/creches/paris-3e/186>chaperons les malicieux des haudriettes</a><br>Adresse: 3 rue des haudriettes<br>cp: 75003
33;33;Privé;crescendo les minimes;;;creche;35 rue des tournelles;75003;https://www.crescendo.asso.fr/multi-accueil-les-minimes;;48.8571676;2.3672777;;non;non;non;35;rue des tournelles;rue;135;<a href=https://www.crescendo.asso.fr/multi-accueil-les-minimes>crescendo les minimes</a><br>Adresse: 35 rue des tournelles<br>cp: 75003
34;34;Privé;e.p.pr sainte-genevieve-du-marais (catholique);Ecole;1.0;maternelle;9 rue du foin;75003;http://www.saintegenevievedumarais.fr;142726143;48.8569463;2.3648093;256.0;non;non;catholique;9;rue du foin;rue;109;<a href=http://www.saintegenevievedumarais.fr>e.p.pr sainte-genevieve-du-marais (catholique)</a><br>Adresse: 9 rue du foin<br>cp: 75003
35;35;Association;les jeunes heures;crèche parentale;;creche;4 rue du pas de la mule;75003;https://www.paris.fr/equipements/creche-parentale-les-jeunes-heures-associative-3612;148870671;48.8559141;2.3677315;8;non;non;non;4;rue du pas de la mule;rue;104;<a href=https://www.paris.fr/equipements/creche-parentale-les-jeunes-heures-associative-3612>les jeunes heures</a><br>Adresse: 4 rue du pas de la mule<br>cp: 75003
36;36;Privé;crescendo charlot;crèche collective;;creche;10 rue dupetit thouars;75003;https://www.crescendo.asso.fr/multi-accueil-charlot;148870218;48.8652742;2.3621838;33;non;non;non;10;rue dupetit thouars;rue;110;<a href=https://www.crescendo.asso.fr/multi-accueil-charlot>crescendo charlot</a><br>Adresse: 10 rue dupetit thouars<br>cp: 75003
37;37;Privé;people & baby rue du temple;micro-crèche;;creche;154 rue du temple;75003;https://www.people-and-baby.com/creche/rue-du-temple/99323418;;48.8672856;2.363084;;non;non;non;154;rue du temple;rue;254;<a href=https://www.people-and-baby.com/creche/rue-du-temple/99323418>people & baby rue du temple</a><br>Adresse: 154 rue du temple<br>cp: 75003
38;38;Privé;baboune temple;micro-crèche;;creche;6 rue notre dame de nazareth;75003;https://baboune.fr/portfolio-item/baboune-temple-75003-paris;183817709;48.8670049;2.3617684;10;non;non;non;6;rue notre dame de nazareth;rue;106;<a href=https://baboune.fr/portfolio-item/baboune-temple-75003-paris>baboune temple</a><br>Adresse: 6 rue notre dame de nazareth<br>cp: 75003
39;39;Privé;chaperons les artistes malicieux;micro-crèche;;creche;75 rue notre dame de nazareth;75003;https://www.lpcr.fr/en/creches/paris-3e/174;;48.8679996;2.3543215;10;non;non;non;75;rue notre dame de nazareth;rue;175;<a href=https://www.lpcr.fr/en/creches/paris-3e/174>chaperons les artistes malicieux</a><br>Adresse: 75 rue notre dame de nazareth<br>cp: 75003
40;40;Privé;e.p.pr montessori (montessori, bilingue);Ecole;1.0;maternelle;3 rue papin;75003;https://ecolemontessori-ruepapin.org;649178574;48.8667842;2.3538265;;oui;oui;non;3;rue papin;rue;103;<a href=https://ecolemontessori-ruepapin.org>e.p.pr montessori (montessori, bilingue)</a><br>Adresse: 3 rue papin<br>cp: 75003
41;41;Public;e.m.pu paul dubois 6 rue paul dubois;Ecole;0.0;maternelle;6 rue paul dubois;75003;https://fr.mappy.com/poi/5322511ae4b04129c76a82ca;148876882;48.8653399;2.3613532;119.0;non;non;non;6;rue paul dubois;rue;106;<a href=https://fr.mappy.com/poi/5322511ae4b04129c76a82ca>e.m.pu paul dubois 6 rue paul dubois</a><br>Adresse: 6 rue paul dubois<br>cp: 75003
42;42;Municipal;rambuteau;crèche collective;;creche;6 rue rambuteau;75003;https://www.paris.fr/equipements/creche-collective-municipale-6-rue-rambuteau-saint-avoye-3755;144788480;48.8603013;2.3564025;66;non;non;non;6;rue rambuteau;rue;106;<a href=https://www.paris.fr/equipements/creche-collective-municipale-6-rue-rambuteau-saint-avoye-3755>rambuteau</a><br>Adresse: 6 rue rambuteau<br>cp: 75003
43;43;Privé;liveli rondes et comptines;crèche collective;;creche;6 rue roger verlomme;75003;https://www.liveli.fr/creches/rondes-et-comptines;148040006;48.8568468;2.3668606;;non;non;non;6;rue roger verlomme;rue;106;<a href=https://www.liveli.fr/creches/rondes-et-comptines>liveli rondes et comptines</a><br>Adresse: 6 rue roger verlomme<br>cp: 75003
44;44;Public;e.p.pu st martin ;Ecole;1.0;maternelle;211 rue saint martin;75003;https://fr.mappy.com/poi/5244e01e84aeeed56cd2b288;148875048;48.868692;2.355405;198.0;non;non;non;211;rue saint martin;rue;311;<a href=https://fr.mappy.com/poi/5244e01e84aeeed56cd2b288>e.p.pu st martin </a><br>Adresse: 211 rue saint martin<br>cp: 75003
45;45;Privé;crescendo martin;crèche collective;;creche;220 rue saint martin;75003;https://www.crescendo.asso.fr/multi-accueil-martin;144786508;48.8672804;2.3545663;;non;non;non;220;rue saint martin;rue;320;<a href=https://www.crescendo.asso.fr/multi-accueil-martin>crescendo martin</a><br>Adresse: 220 rue saint martin<br>cp: 75003
46;46;Privé;chaperons les malicieux de sainte-apolline;micro-crèche;;creche;7 rue sainte apolline;75003;https://www.lpcr.fr/fr/creches/paris/196;;48.8687525;2.3547221;10;non;non;non;7;rue sainte apolline;rue;107;<a href=https://www.lpcr.fr/fr/creches/paris/196>chaperons les malicieux de sainte-apolline</a><br>Adresse: 7 rue sainte apolline<br>cp: 75003
47;47;Public;e.p.pu vaucanson ;Ecole;1.0;maternelle;6 rue vaucanson;75003;https://fr.mappy.com/poi/532108bbe4b07c1cacaf82a4;142775528;48.8671172;2.356791;192.0;non;non;non;6;rue vaucanson;rue;106;<a href=https://fr.mappy.com/poi/532108bbe4b07c1cacaf82a4>e.p.pu vaucanson </a><br>Adresse: 6 rue vaucanson<br>cp: 75003
48;48;Privé;crescendo morland;;;creche;17 boulevard morland;75004;https://www.crescendo.asso.fr/morland;;48.8495406;2.3640071;;non;non;non;17;boulevard morland;boulevard;117;<a href=https://www.crescendo.asso.fr/morland>crescendo morland</a><br>Adresse: 17 boulevard morland<br>cp: 75004
49;49;Privé;babilou paris henri iv;crèche collective;;creche;10 quai henri iv;75004;https://www.babilou.fr/creches/babilou-paris-henri-iv;;48.8488191;2.3626394;22;non;non;non;10;quai henri iv;quai;110;<a href=https://www.babilou.fr/creches/babilou-paris-henri-iv>babilou paris henri iv</a><br>Adresse: 10 quai henri iv<br>cp: 75004
50;50;Association;le figuier;crèche collective;;creche;6 rue de l'ave maria;75004;https://www.paris.fr/equipements/creche-collective-village-saint-paul-associative-3512;142777359;48.8527803;2.3604683;30;non;non;non;6;rue de l'ave maria;rue;106;<a href=https://www.paris.fr/equipements/creche-collective-village-saint-paul-associative-3512>le figuier</a><br>Adresse: 6 rue de l'ave maria<br>cp: 75004
51;51;Municipal;moussy;crèche collective;;creche;6 rue de moussy;75004;https://www.paris.fr/equipements/creche-collective-municipale-de-moussy-410;148874282;48.8574406;2.3555656;66;non;non;non;6;rue de moussy;rue;106;<a href=https://www.paris.fr/equipements/creche-collective-municipale-de-moussy-410>moussy</a><br>Adresse: 6 rue de moussy<br>cp: 75004
52;52;Public;e.p.pu moussy ;Ecole;1.0;maternelle;9 rue de moussy;75004;https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-moussy-9-rue-de-moussy.html;142776512;48.8577359;2.3556262;117.0;non;non;non;9;rue de moussy;rue;109;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-moussy-9-rue-de-moussy.html>e.p.pu moussy </a><br>Adresse: 9 rue de moussy<br>cp: 75004
53;53;Municipal;ormes;crèche collective;;creche;9 rue des barres;75004;https://www.paris.fr/equipements/creche-collective-municipale-des-barres-408;142727381;48.8552208;2.3549252;55;non;non;non;9;rue des barres;rue;109;<a href=https://www.paris.fr/equipements/creche-collective-municipale-des-barres-408>ormes</a><br>Adresse: 9 rue des barres<br>cp: 75004
54;54;Municipal;blancs manteaux;crèche collective;;creche;21 rue des blancs manteaux;75004;https://www.paris.fr/equipements/creche-des-blancs-manteaux-443;144543495;48.8588559;2.3564526;;non;non;non;21;rue des blancs manteaux;rue;121;<a href=https://www.paris.fr/equipements/creche-des-blancs-manteaux-443>blancs manteaux</a><br>Adresse: 21 rue des blancs manteaux<br>cp: 75004
55;55;Public;e.p.pu hosp. st gervais ;Ecole;1.0;maternelle;10 rue des hospitalières saint gervais;75004;https://fr.mappy.com/poi/53224f93e4b04129c76a8293;148872685;48.8579194;2.3591296;153.0;non;non;non;10;rue des hospitalières saint gervais;rue;110;<a href=https://fr.mappy.com/poi/53224f93e4b04129c76a8293>e.p.pu hosp. st gervais </a><br>Adresse: 10 rue des hospitalières saint gervais<br>cp: 75004
56;56;Municipal;jardins st paul;crèche familiale;;creche;22 rue des jardins saint paul;75004;https://www.paris.fr/equipements/multi-accueil-collectif-et-familial-municipal-des-jardins-saint-paul-429;142778609;48.8536526;2.3608626;36;non;non;non;22;rue des jardins saint paul;rue;122;<a href=https://www.paris.fr/equipements/multi-accueil-collectif-et-familial-municipal-des-jardins-saint-paul-429>jardins st paul</a><br>Adresse: 22 rue des jardins saint paul<br>cp: 75004
57;57;Public;e.p.pu tournelles ;Ecole;1.0;maternelle;21 rue des tournelles;75004;https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-tournelles-21-rue-des-tournelles.html;148872775;48.8537211;2.3673311;190.0;non;non;non;21;rue des tournelles;rue;121;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-tournelles-21-rue-des-tournelles.html>e.p.pu tournelles </a><br>Adresse: 21 rue des tournelles<br>cp: 75004
58;58;Privé;e.p.pr saint jean gabriel (catholique);Ecole;1.0;maternelle;6 rue du cloître saint merri;75004;https://www.saintjeangabriel.net;142784481;48.8589442;2.3517358;185.0;non;non;catholique;6;rue du cloître saint merri;rue;106;<a href=https://www.saintjeangabriel.net>e.p.pr saint jean gabriel (catholique)</a><br>Adresse: 6 rue du cloître saint merri<br>cp: 75004
59;59;Public;e.p.pu fauconnier ;Ecole;1.0;maternelle;4 rue du fauconnier;75004;https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-fauconnier-4-rue-du-fauconnier.html;142728887;48.8536445;2.3596405;215.0;non;non;non;4;rue du fauconnier;rue;104;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-fauconnier-4-rue-du-fauconnier.html>e.p.pu fauconnier </a><br>Adresse: 4 rue du fauconnier<br>cp: 75004
60;60;Privé;e.p.pr saint louis (catholique);Ecole;1.0;maternelle;10 rue du petit musc;75004;https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppr-saint-louis-10-rue-du-petit-musc.html;142717832;48.8517708;2.3630672;;non;non;catholique;10;rue du petit musc;rue;110;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppr-saint-louis-10-rue-du-petit-musc.html>e.p.pr saint louis (catholique)</a><br>Adresse: 10 rue du petit musc<br>cp: 75004
61;61;Privé;e.m.pr douces maternelles bastille (bilingue);Ecole;0.0;maternelle;21 rue du petit musc;75004;http://www.doucesmaternelles.com;148040568;48.8526107;2.3640561;;non;oui;non;21;rue du petit musc;rue;121;<a href=http://www.doucesmaternelles.com>e.m.pr douces maternelles bastille (bilingue)</a><br>Adresse: 21 rue du petit musc<br>cp: 75004
62;62;Privé;e.p.pr massillon (catholique);Ecole;1.0;maternelle;9 rue du petit musc;75004;http://www.ecolemassillon.com;153019160;48.8520369;2.3631431;316.0;non;non;catholique;9;rue du petit musc;rue;109;<a href=http://www.ecolemassillon.com>e.p.pr massillon (catholique)</a><br>Adresse: 9 rue du petit musc<br>cp: 75004
63;63;Municipal;charlemagne;crèche collective;;creche;8 rue eginhard;75004;https://www.paris.fr/equipements/creche-collective-municipale-eginhard-charlemagne-417;144788120;48.8540685;2.3616144;66;non;non;non;8;rue eginhard;rue;108;<a href=https://www.paris.fr/equipements/creche-collective-municipale-eginhard-charlemagne-417>charlemagne</a><br>Adresse: 8 rue eginhard<br>cp: 75004
64;64;Association;marais;crèche parentale;;creche;8 rue françois miron;75004;https://www.paris.fr/equipements/creche-parentale-du-marais-7591;142771902;48.8558053;2.354991;12;non;non;non;8;rue françois miron;rue;108;<a href=https://www.paris.fr/equipements/creche-parentale-du-marais-7591>marais</a><br>Adresse: 8 rue françois miron<br>cp: 75004
65;65;Association;cité st martin;crèche familiale;;creche;2 rue mornay;75004;https://www.paris.fr/equipements/creche-familiale-cite-st-martin-associative-3579;144618379;48.8495519;2.3661367;24;non;non;non;2;rue mornay;rue;102;<a href=https://www.paris.fr/equipements/creche-familiale-cite-st-martin-associative-3579>cité st martin</a><br>Adresse: 2 rue mornay<br>cp: 75004
66;66;Public;e.m.pu poulletier ;Ecole;0.0;maternelle;18 rue poulletier;75004;https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/empu-poulletier-18-rue-poulletier.html;143549454;48.8514729;2.3583006;104.0;non;non;non;18;rue poulletier;rue;118;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/empu-poulletier-18-rue-poulletier.html>e.m.pu poulletier </a><br>Adresse: 18 rue poulletier<br>cp: 75004
67;67;Public;e.p.pu st merri ;Ecole;1.0;maternelle;11 rue saint merri;75004;https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-st-merri-11-rue-saint-merri.html;148872627;48.8593054;2.352976;229.0;non;non;non;11;rue saint merri;rue;111;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-4e-arrondissement/etab/eppu-st-merri-11-rue-saint-merri.html>e.p.pu st merri </a><br>Adresse: 11 rue saint merri<br>cp: 75004
68;68;Privé;perlimpinpin port-royal;;;creche;12 boulevard de port royal;75005;https://lescrechesperlimpinpin.com/micro-creche-port-royal;;48.8371683;2.3499633;;non;non;non;12;boulevard de port royal;boulevard;112;<a href=https://lescrechesperlimpinpin.com/micro-creche-port-royal>perlimpinpin port-royal</a><br>Adresse: 12 boulevard de port royal<br>cp: 75005
69;69;Municipal;port royal;crèche collective;;creche;88 boulevard de port royal;75005;https://www.paris.fr/equipements/creche-collective-municipale-de-port-royal-4eme-etage-2314;143257355;48.8393849;2.3378641;50;non;non;non;88;boulevard de port royal;boulevard;188;<a href=https://www.paris.fr/equipements/creche-collective-municipale-de-port-royal-4eme-etage-2314>port royal</a><br>Adresse: 88 boulevard de port royal<br>cp: 75005
70;70;Privé;e.m.pr douce maternelle broca (bilingue);Ecole;0.0;maternelle;52 rue broca;75005;http://www.doucesmaternelles.com;661949242;48.8382224;2.3482182;;non;oui;non;52;rue broca;rue;152;<a href=http://www.doucesmaternelles.com>e.m.pr douce maternelle broca (bilingue)</a><br>Adresse: 52 rue broca<br>cp: 75005
